"cart_item_id,cart_id,product_id,quantity,price"
"1,1,735,2,19.18"
"2,1,55,4,906.07"
"3,1,551,1,635.67"
"4,1,362,1,394.41"
"5,1,219,5,301.18"
"6,2,848,2,206.87"
"7,3,991,1,187.44"
"8,3,557,5,498.05"
"9,4,270,4,696.14"
"10,4,620,3,47.21"
"11,4,819,1,703.96"
"12,4,344,4,274.86"
"13,4,791,4,249.12"
"14,5,661,3,574.62"
"15,5,180,2,862.55"
"16,5,893,2,425.01"
"17,5,716,4,788.26"
"18,5,723,5,136.88"
"19,6,494,3,650.14"
"20,6,880,4,12.21"
"21,6,649,3,394.96"
"22,7,367,3,276.29"
"23,7,133,4,778.06"
"24,8,584,2,654.11"
"25,8,572,5,792.88"
"26,8,974,1,462.45"
"27,9,284,4,16.43"
"28,9,168,1,571.86"
"29,9,549,5,652.75"
"30,10,647,2,845.18"
"31,11,866,2,641.15"
"32,11,838,2,33.64"
"33,12,346,2,491.67"
"34,12,292,3,981.09"
"35,12,863,3,970.28"
"36,13,844,4,278.71"
"37,13,825,4,526.99"
"38,13,13,1,179.17"
"39,14,853,3,284.67"
"40,14,112,3,977.37"
"41,15,411,4,331.51"
"42,16,311,4,366.98"
"43,16,368,4,653.84"
"44,16,174,1,382.13"
"45,16,423,4,183.85"
"46,17,386,2,603.74"
"47,17,65,4,282.96"
"48,17,691,2,714.92"
"49,17,748,1,637.44"
"50,18,867,1,91.52"
"51,18,271,4,356.83"
"52,18,782,2,623.56"
"53,18,864,5,511.86"
"54,18,432,2,340.44"
"55,19,147,4,691.39"
"56,19,222,1,358.56"
"57,20,688,4,234.4"
"58,20,562,1,329.48"
"59,20,462,2,544.56"
"60,20,585,5,790.68"
"61,20,646,1,985.52"
"62,21,796,5,19.53"
"63,22,783,5,571.93"
"64,23,782,5,623.56"
"65,23,505,2,643.6"
"66,24,210,1,723.11"
"67,24,979,3,292.43"
"68,25,848,5,206.87"
"69,25,449,4,485.23"
"70,25,647,1,845.18"
"71,25,3,4,207.19"
"72,25,532,5,398.82"
"73,26,764,4,548.56"
"74,26,111,4,779.87"
"75,26,524,5,632.51"
"76,26,104,3,789.05"
"77,27,850,4,500.57"
"78,28,956,2,42.73"
"79,29,48,5,602.25"
"80,30,166,5,96.99"
"81,30,795,2,520.12"
"82,31,330,4,952.57"
"83,32,37,1,472.74"
"84,33,513,4,293.99"
"85,33,498,3,371.52"
"86,33,120,2,713.97"
"87,33,973,1,464.59"
"88,34,212,4,73.49"
"89,34,303,4,423.26"
"90,34,784,1,689.28"
"91,34,304,5,868.86"
"92,34,804,5,660.0"
"93,35,813,4,532.06"
"94,35,859,1,708.66"
"95,36,379,2,886.62"
"96,36,937,1,659.16"
"97,36,725,1,146.49"
"98,36,829,4,439.68"
"99,37,737,3,443.36"
"100,37,222,4,358.56"
"101,37,446,2,383.86"
"102,38,774,3,611.03"
"103,38,495,4,350.85"
"104,38,545,5,478.54"
"105,38,826,1,490.58"
"106,39,128,1,777.97"
"107,39,746,5,887.82"
"108,39,423,1,183.85"
"109,40,316,1,259.83"
"110,40,178,5,679.48"
"111,41,214,2,287.04"
"112,42,298,2,560.47"
"113,42,458,1,851.91"
"114,42,962,1,390.4"
"115,42,198,4,637.6"
"116,43,357,5,873.54"
"117,43,388,3,505.09"
"118,43,393,4,616.95"
"119,43,16,3,579.0"
"120,44,31,2,839.23"
"121,44,289,1,582.76"
"122,44,240,3,840.6"
"123,44,330,4,952.57"
"124,44,233,4,727.94"
"125,45,550,4,987.0"
"126,46,150,4,900.17"
"127,46,22,3,178.61"
"128,47,386,5,603.74"
"129,48,609,4,720.33"
"130,48,624,2,308.38"
"131,48,290,5,647.8"
"132,48,319,3,48.32"
"133,49,576,1,164.42"
"134,50,451,5,787.78"
"135,51,244,3,875.23"
"136,51,355,4,655.35"
"137,51,849,3,716.1"
"138,51,775,3,699.0"
"139,52,70,2,976.14"
"140,52,782,1,623.56"
"141,52,997,2,551.9"
"142,52,521,4,780.81"
"143,52,366,5,805.17"
"144,53,36,3,772.57"
"145,53,70,1,976.14"
"146,53,363,4,534.27"
"147,53,498,3,371.52"
"148,54,912,3,100.9"
"149,54,107,2,960.8"
"150,54,892,3,828.83"
"151,55,745,1,891.98"
"152,55,614,3,460.18"
"153,55,490,1,375.31"
"154,56,233,4,727.94"
"155,57,805,3,221.09"
"156,58,663,1,200.94"
"157,59,467,4,426.54"
"158,59,544,1,395.68"
"159,60,822,2,226.2"
"160,60,786,3,256.67"
"161,60,463,2,680.69"
"162,60,401,3,433.15"
"163,60,421,5,797.93"
"164,61,97,2,866.2"
"165,62,672,2,449.95"
"166,62,471,2,862.71"
"167,63,269,4,816.08"
"168,64,972,4,432.07"
"169,64,99,4,870.43"
"170,64,651,3,167.15"
"171,64,140,2,57.08"
"172,65,13,4,179.17"
"173,66,734,5,955.61"
"174,66,876,5,219.42"
"175,67,322,1,799.42"
"176,67,976,2,760.5"
"177,67,220,1,38.09"
"178,67,684,1,361.81"
"179,68,129,2,185.78"
"180,68,203,1,553.13"
"181,68,645,5,277.44"
"182,68,158,4,20.25"
"183,68,191,2,564.72"
"184,69,973,1,464.59"
"185,69,552,5,988.74"
"186,69,957,2,796.23"
"187,69,960,1,998.31"
"188,70,724,2,248.64"
"189,70,164,2,162.73"
"190,70,464,3,957.02"
"191,71,317,4,235.19"
"192,71,483,4,901.18"
"193,71,579,4,561.98"
"194,72,58,2,710.48"
"195,72,250,1,81.88"
"196,72,410,4,910.91"
"197,72,766,1,506.44"
"198,72,556,3,517.09"
"199,73,561,1,529.44"
"200,73,475,5,744.64"
"201,74,61,2,929.81"
"202,74,445,2,672.51"
"203,74,692,3,201.71"
"204,75,978,4,339.75"
"205,75,308,3,653.08"
"206,75,919,5,631.51"
"207,76,283,1,610.22"
"208,77,321,2,747.97"
"209,78,415,1,572.82"
"210,79,140,4,57.08"
"211,79,140,3,57.08"
"212,79,900,1,339.8"
"213,79,270,2,696.14"
"214,79,126,5,391.83"
"215,80,468,4,777.21"
"216,80,852,3,325.42"
"217,80,287,4,88.41"
"218,80,557,3,498.05"
"219,80,921,5,114.15"
"220,81,85,1,902.76"
"221,81,693,3,68.9"
"222,82,72,4,105.44"
"223,83,153,3,928.62"
"224,84,572,3,792.88"
"225,84,495,2,350.85"
"226,84,518,1,989.87"
"227,84,587,5,234.28"
"228,85,478,4,243.1"
"229,85,184,2,29.57"
"230,85,812,4,314.47"
"231,85,703,1,223.21"
"232,85,725,1,146.49"
"233,86,175,4,316.25"
"234,86,868,1,801.5"
"235,86,88,4,695.26"
"236,87,555,5,511.92"
"237,87,527,3,576.52"
"238,87,677,3,148.26"
"239,87,467,5,426.54"
"240,88,760,5,984.06"
"241,89,401,4,433.15"
"242,89,347,2,66.27"
"243,90,386,5,603.74"
"244,90,418,3,395.39"
"245,91,151,4,347.74"
"246,91,835,4,835.5"
"247,91,455,1,639.45"
"248,92,574,2,65.57"
"249,92,526,5,206.05"
"250,93,60,1,484.06"
"251,93,858,1,617.75"
"252,93,340,2,812.05"
"253,93,281,4,27.77"
"254,94,430,2,891.2"
"255,94,623,2,405.88"
"256,94,62,3,365.2"
"257,94,920,3,234.66"
"258,95,128,3,777.97"
"259,96,554,3,356.48"
"260,96,287,5,88.41"
"261,96,854,1,569.23"
"262,96,721,5,323.2"
"263,97,288,2,740.69"
"264,97,235,5,30.3"
"265,97,962,2,390.4"
"266,97,164,4,162.73"
"267,97,226,2,305.77"
"268,98,592,4,983.05"
"269,98,191,1,564.72"
"270,98,326,4,417.33"
"271,98,648,2,713.95"
"272,99,258,4,297.11"
"273,99,138,1,679.39"
"274,99,42,4,749.09"
"275,99,836,2,689.3"
"276,100,95,5,641.43"
"277,100,817,1,109.35"
"278,101,888,4,130.69"
"279,101,908,3,567.94"
"280,101,837,4,731.0"
"281,101,693,3,68.9"
"282,102,352,2,778.05"
"283,103,345,3,684.89"
"284,103,632,3,615.03"
"285,103,353,3,744.33"
"286,104,721,2,323.2"
"287,104,17,3,829.46"
"288,104,23,1,864.38"
"289,104,461,2,656.36"
"290,105,263,2,403.78"
"291,105,755,4,171.39"
"292,106,280,1,106.98"
"293,106,761,1,645.65"
"294,107,183,5,357.2"
"295,107,675,5,326.01"
"296,107,471,1,862.71"
"297,108,13,3,179.17"
"298,109,625,3,38.68"
"299,110,902,5,729.43"
"300,111,202,3,918.74"
"301,111,523,4,125.0"
"302,112,937,4,659.16"
"303,112,552,4,988.74"
"304,112,838,2,33.64"
"305,112,219,5,301.18"
"306,113,698,2,952.73"
"307,114,559,5,113.57"
"308,115,814,3,738.49"
"309,115,134,1,378.26"
"310,116,653,2,489.88"
"311,116,787,2,569.64"
"312,116,8,5,99.28"
"313,116,607,3,297.48"
"314,116,911,4,286.59"
"315,117,684,1,361.81"
"316,118,40,3,266.35"
"317,118,509,1,139.26"
"318,119,652,4,607.0"
"319,120,527,5,576.52"
"320,120,22,4,178.61"
"321,121,350,2,500.08"
"322,121,172,3,459.03"
"323,122,487,1,696.89"
"324,122,298,4,560.47"
"325,122,486,1,614.34"
"326,122,402,2,477.17"
"327,122,319,1,48.32"
"328,123,509,4,139.26"
"329,124,68,1,919.05"
"330,125,87,3,836.67"
"331,125,251,4,416.34"
"332,126,792,4,426.19"
"333,127,131,4,758.43"
"334,128,841,1,172.45"
"335,129,970,1,741.68"
"336,129,832,5,918.43"
"337,129,456,1,804.24"
"338,130,706,5,853.71"
"339,131,752,1,698.19"
"340,131,62,2,365.2"
"341,131,766,1,506.44"
"342,132,226,4,305.77"
"343,132,257,4,182.9"
"344,132,776,3,296.88"
"345,132,960,2,998.31"
"346,132,165,2,153.78"
"347,133,948,3,928.22"
"348,133,104,2,789.05"
"349,133,706,2,853.71"
"350,133,418,2,395.39"
"351,134,663,4,200.94"
"352,135,225,1,920.02"
"353,135,426,3,580.46"
"354,135,534,4,389.71"
"355,136,57,2,131.39"
"356,136,718,2,648.42"
"357,136,635,2,433.08"
"358,136,912,5,100.9"
"359,136,737,1,443.36"
"360,137,888,4,130.69"
"361,137,359,3,837.97"
"362,137,38,3,881.6"
"363,137,890,2,844.29"
"364,137,527,2,576.52"
"365,138,448,3,346.66"
"366,138,500,4,896.32"
"367,138,455,5,639.45"
"368,138,805,4,221.09"
"369,138,401,1,433.15"
"370,139,996,5,553.22"
"371,139,982,5,747.64"
"372,140,645,4,277.44"
"373,140,557,5,498.05"
"374,140,214,5,287.04"
"375,140,63,5,619.75"
"376,140,355,3,655.35"
"377,141,510,4,155.53"
"378,141,906,5,173.46"
"379,141,605,4,481.41"
"380,141,489,1,681.28"
"381,141,45,3,440.91"
"382,142,850,4,500.57"
"383,143,304,1,868.86"
"384,143,434,5,552.79"
"385,143,163,1,919.67"
"386,143,47,4,539.36"
"387,144,28,3,962.27"
"388,144,271,5,356.83"
"389,145,874,3,380.22"
"390,145,28,3,962.27"
"391,145,796,3,19.53"
"392,146,308,4,653.08"
"393,146,943,3,706.08"
"394,146,295,5,349.07"
"395,146,326,4,417.33"
"396,147,398,1,572.02"
"397,147,299,4,410.09"
"398,148,517,4,844.75"
"399,148,868,5,801.5"
"400,149,547,3,352.32"
"401,149,500,1,896.32"
"402,149,743,5,295.44"
"403,149,878,4,58.22"
"404,149,463,3,680.69"
"405,150,908,5,567.94"
"406,150,260,2,597.95"
"407,150,953,3,608.88"
"408,150,191,3,564.72"
"409,150,56,5,856.59"
"410,151,84,3,28.75"
"411,151,567,5,373.58"
"412,152,653,1,489.88"
"413,152,637,1,386.45"
"414,152,852,4,325.42"
"415,153,928,5,229.13"
"416,153,846,5,932.25"
"417,153,993,5,880.3"
"418,153,454,2,120.29"
"419,153,537,3,53.39"
"420,154,561,5,529.44"
"421,154,356,1,294.19"
"422,154,985,1,485.28"
"423,155,713,3,287.71"
"424,156,369,3,508.67"
"425,156,305,2,35.31"
"426,156,676,1,943.4"
"427,157,60,5,484.06"
"428,157,818,2,195.22"
"429,157,690,3,536.68"
"430,157,872,3,84.95"
"431,157,744,1,39.71"
"432,158,960,1,998.31"
"433,158,484,5,386.59"
"434,158,413,4,735.04"
"435,158,866,3,641.15"
"436,159,828,1,511.33"
"437,159,841,3,172.45"
"438,160,732,4,682.74"
"439,160,313,1,352.26"
"440,161,119,4,498.3"
"441,162,67,2,927.16"
"442,162,632,3,615.03"
"443,162,402,4,477.17"
"444,162,141,2,399.62"
"445,163,455,1,639.45"
"446,163,521,5,780.81"
"447,163,276,5,233.98"
"448,163,733,5,481.94"
"449,164,535,1,191.21"
"450,165,5,2,166.97"
"451,165,551,3,635.67"
"452,165,181,1,795.73"
