"review_id,user_id,product_id,rating,comment,review_date"
"1,2296,905,2,Loss education sound want start build environmental.,2024-03-30 20:47:32"
"2,3308,854,4,Soon any then sing chair western general.,2024-03-10 23:39:52"
"3,3444,834,3,Cause amount yet.,2024-02-15 03:18:52"
"4,1931,860,1,Girl see class few wrong decide.,2024-02-14 17:45:02"
"5,1569,923,3,Three answer figure white financial threat instead leave.,2024-04-18 14:47:12"
"6,2481,647,1,Focus someone strategy likely.,2024-08-11 15:41:30"
"7,1178,91,1,Form Congress any dinner for.,2024-05-13 07:42:12"
"8,3437,271,2,House community station people buy set movie indicate.,2024-05-11 09:04:32"
"9,1095,359,2,Section see above local matter perform.,2024-03-13 00:40:32"
"10,325,882,1,Player nothing now month black.,2024-01-02 20:01:39"
"11,223,670,3,Alone himself thank choice street wrong note have.,2024-06-28 13:05:35"
"12,843,143,4,Tell individual power manager.,2024-02-04 17:43:39"
"13,1883,471,5,Next rather seven able network current western.,2024-03-08 11:15:26"
"14,433,616,5,Possible able lead hot plan.,2024-01-02 14:46:18"
"15,2780,641,3,House mother rather service they fly.,2024-06-22 07:56:59"
"16,362,165,1,Close radio rate light those.,2024-08-03 04:32:43"
"17,620,505,5,Blue happen market meeting really most simple.,2024-08-19 05:58:37"
"18,1742,359,3,Carry stuff south.,2024-02-15 08:05:51"
"19,1891,86,1,Live director point air war end bag.,2024-01-11 05:33:47"
"20,1740,836,4,Prove position note administration guy.,2024-03-28 16:29:31"
"21,2927,69,4,Choice interesting also increase keep boy wish yeah.,2024-07-11 04:36:53"
"22,2797,180,1,Hundred pick every everyone tonight in.,2024-03-18 21:41:27"
"23,2829,114,4,Meeting fall billion dinner resource.,2024-03-03 17:47:21"
"24,2122,860,1,Yard easy campaign bit she reason different.,2024-08-17 15:38:55"
"25,1663,679,1,Cell floor inside turn specific specific.,2024-07-21 22:22:53"
"26,2701,862,4,Deep civil everyone arrive.,2024-06-30 19:28:07"
